application,csha,commit link_x,excluded,Commit ID,total_files,deleted_files,testing,maintenance,build,commit message,Bug fix,Documentation,Clean up,check,Source Control,Feature Add,Merge,Refactoring,Token Replace,Tagger ID,commit link
apache-avro,11a18d9b686d98f7731904584ed8a809cd86dea8,https://github.com/apache/avro/commit/11a18d9b686d98f7731904584ed8a809cd86dea8,0,apache-avro_11a18d9b686d98f7731904584ed8a809cd86dea8.json,5,0,1,0,0,schema resolut permit conver byte string,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/11a18d9b686d98f7731904584ed8a809cd86dea8
apache-avro,8feed041e4d0f296e954d1b4d38ce952d64bc07d,https://github.com/apache/avro/commit/8feed041e4d0f296e954d1b4d38ce952d64bc07d,0,apache-avro_8feed041e4d0f296e954d1b4d38ce952d64bc07d.json,15,0,1,1,0,add support document protocol messag contribut fletcher,0,0,0,c,0,0,0,0,0,jc,https://github.com/apache/avro/commit/8feed041e4d0f296e954d1b4d38ce952d64bc07d
apache-avro,4fec1d9c1fde62c384d59ed520dfc80b4a4205a5,https://github.com/apache/avro/commit/4fec1d9c1fde62c384d59ed520dfc80b4a4205a5,0,apache-avro_4fec1d9c1fde62c384d59ed520dfc80b4a4205a5.json,8,0,1,0,0,support decim type record map,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/4fec1d9c1fde62c384d59ed520dfc80b4a4205a5
apache-avro,f71e0cd28d1ebc039ec57cd303ba30e190e72dce,https://github.com/apache/avro/commit/f71e0cd28d1ebc039ec57cd303ba30e190e72dce,0,apache-avro_f71e0cd28d1ebc039ec57cd303ba30e190e72dce.json,16,0,1,0,0,generat class implement,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/f71e0cd28d1ebc039ec57cd303ba30e190e72dce
apache-avro,15d5cdc81c23c4d47099b510e4efa50fd18ac9bf,https://github.com/apache/avro/commit/15d5cdc81c23c4d47099b510e4efa50fd18ac9bf,0,apache-avro_15d5cdc81c23c4d47099b510e4efa50fd18ac9bf.json,3,0,1,1,0,improv error messag miss field default contribut,0,0,0,c,0,0,0,0,0,jc,https://github.com/apache/avro/commit/15d5cdc81c23c4d47099b510e4efa50fd18ac9bf
apache-avro,e276aa5e40cf51e36b581750c135c9c3875cac84,https://github.com/apache/avro/commit/e276aa5e40cf51e36b581750c135c9c3875cac84,0,apache-avro_e276aa5e40cf51e36b581750c135c9c3875cac84.json,3,0,1,1,0,stop infinit recur,0,0,0,c,0,0,0,0,0,jc,https://github.com/apache/avro/commit/e276aa5e40cf51e36b581750c135c9c3875cac84
apache-avro,4d8a4dd7a2582ad4fa59b8ed3e0db27b91559334,https://github.com/apache/avro/commit/4d8a4dd7a2582ad4fa59b8ed3e0db27b91559334,0,apache-avro_4d8a4dd7a2582ad4fa59b8ed3e0db27b91559334.json,13,0,1,0,1,add support file compress translat job compress option contribut,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/4d8a4dd7a2582ad4fa59b8ed3e0db27b91559334
apache-avro,4b69cb20ad51d80b9404b505c4550dec1ba32df5,https://github.com/apache/avro/commit/4b69cb20ad51d80b9404b505c4550dec1ba32df5,0,apache-avro_4b69cb20ad51d80b9404b505c4550dec1ba32df5.json,42,0,1,0,0,cleanup fix spell error,0,1,0,c,0,0,0,0,1,jc,https://github.com/apache/avro/commit/4b69cb20ad51d80b9404b505c4550dec1ba32df5
apache-avro,482adcfa1857033f2a76b07b429a266b0231f433,https://github.com/apache/avro/commit/482adcfa1857033f2a76b07b429a266b0231f433,0,apache-avro_482adcfa1857033f2a76b07b429a266b0231f433.json,3,0,1,0,0,fix parser grammar flatten recur case contribut recur record use class copi sequenc parser symbol final sequenc yet known copi sequenc fix copi caus final grammar null case,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/482adcfa1857033f2a76b07b429a266b0231f433
apache-avro,364444783b65832b07a1436ee3a93faece63d484,https://github.com/apache/avro/commit/364444783b65832b07a1436ee3a93faece63d484,0,apache-avro_364444783b65832b07a1436ee3a93faece63d484.json,8,0,1,0,0,option valid default valu read,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/364444783b65832b07a1436ee3a93faece63d484
apache-avro,fd6c4228fbecc6eff3e3ecd5ee27d2ceb46339ff,https://github.com/apache/avro/commit/fd6c4228fbecc6eff3e3ecd5ee27d2ceb46339ff,0,apache-avro_fd6c4228fbecc6eff3e3ecd5ee27d2ceb46339ff.json,7,0,1,0,0,,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/fd6c4228fbecc6eff3e3ecd5ee27d2ceb46339ff
apache-avro,e0966a1ec55a6ca45baf5d3f53ad6b0e7a049452,https://github.com/apache/avro/commit/e0966a1ec55a6ca45baf5d3f53ad6b0e7a049452,0,apache-avro_e0966a1ec55a6ca45baf5d3f53ad6b0e7a049452.json,3,0,1,1,0,deep copi need creat new instanc primit,0,0,0,c,0,0,0,0,0,jc,https://github.com/apache/avro/commit/e0966a1ec55a6ca45baf5d3f53ad6b0e7a049452
apache-avro,e99366aa5977c973a7be3ca96adf51b3bf52801f,https://github.com/apache/avro/commit/e99366aa5977c973a7be3ca96adf51b3bf52801f,0,apache-avro_e99366aa5977c973a7be3ca96adf51b3bf52801f.json,3,0,1,0,0,add method better permit copi,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/e99366aa5977c973a7be3ca96adf51b3bf52801f
apache-avro,07c8f328603a4cacca087133ec3fb45337867aaf,https://github.com/apache/avro/commit/07c8f328603a4cacca087133ec3fb45337867aaf,0,apache-avro_07c8f328603a4cacca087133ec3fb45337867aaf.json,3,0,1,0,0,revert fix support logic type revert commit incorrect key,0,0,0,c,0,0,0,0,0,jc,https://github.com/apache/avro/commit/07c8f328603a4cacca087133ec3fb45337867aaf
apache-avro,e5ae42e5703b8b193e5c2a61458e28a931c5774e,https://github.com/apache/avro/commit/e5ae42e5703b8b193e5c2a61458e28a931c5774e,0,apache-avro_e5ae42e5703b8b193e5c2a61458e28a931c5774e.json,2,0,0,1,0,valid default valu par,0,0,0,c,0,0,0,0,0,jc,https://github.com/apache/avro/commit/e5ae42e5703b8b193e5c2a61458e28a931c5774e
apache-avro,fb28910e926f1c442b90e650c3bd9e6ecfb80a79,https://github.com/apache/avro/commit/fb28910e926f1c442b90e650c3bd9e6ecfb80a79,0,apache-avro_fb28910e926f1c442b90e650c3bd9e6ecfb80a79.json,4,0,1,0,0,resolv record union permit structur match match fail contribut blue,0,0,0,c,0,1,0,0,0,jc,https://github.com/apache/avro/commit/fb28910e926f1c442b90e650c3bd9e6ecfb80a79
apache-avro,d0cce25208ad83a9fb6fcce825ae64881bdda420,https://github.com/apache/avro/commit/d0cce25208ad83a9fb6fcce825ae64881bdda420,0,apache-avro_d0cce25208ad83a9fb6fcce825ae64881bdda420.json,2,0,0,1,0,clear array allow,0,0,1,c,0,0,0,0,0,jc,https://github.com/apache/avro/commit/d0cce25208ad83a9fb6fcce825ae64881bdda420
